S.No.|marca modelo|año fabricacion|kilometros|tipo combustible|transmisión|tipo de dueño|rendimiento|motor|potencia|asientos|precio venta
44|Hyundai Elantra 2.0 SX Option AT|2014|46374|Petroleo|Automatico|Primer|14.62 kmpl|1999 CC|149.92 bhp|5.0|8850.0
45|Toyota Corolla Altis G AT|2016|52001|Petroleo|Automatico|Primer|14.28 kmpl|1798 CC|138.03 bhp|5.0|10110.0
46|Hyundai Elantra CRDi|2008|58005|Diesel|Manual|Segundo|14.9 kmpl|1991 CC|112.2 bhp|5.0|4250.0
47|Toyota Innova Crysta 2.7 GX MT|2012|70704|Petroleo|Manual|Primer|11.25 kmpl|2694 CC|163.7 bhp|7.0|10950.0
48|Hyundai Xcent 1.1 CRDi S|2014|75000|Diesel|Manual|Primer|24.4 kmpl|1120 CC|71 bhp|5.0|3850.0
49|Mahindra Thar CRDe AC|2012|75800|Diesel|Manual|Segundo|16.55 kmpl|2498 CC|105 bhp|6.0|5500.0
50|Audi A4 2.0 TDI 177 Bhp Premium Plus|2015|13648|Diesel|Automatico|Primer|17.11 kmpl|1968 CC|174.33 bhp|5.0|21430.0
51|Maruti Swift LDI|2014|52000|Diesel|Manual|Primer|22.9 kmpl|1248 CC|74 bhp|5.0|4250.0
52|Maruti Swift Ldi BSIV|2014|53000|Diesel|Manual|Primer|17.8 kmpl|1248 CC|75 bhp|5.0|3300.0
53|Maruti Swift VDI|2013|65650|Diesel|Manual|Primer|28.4 kmpl|1248 CC|74 bhp|5.0|3850.0
54|Hyundai Grand i10 Sportz|2015|54000|Petroleo|Manual|Tercer|18.9 kmpl|1197 CC|82 bhp|5.0|3600.0
55|Volkswagen Vento 2013-2015 1.6 Comfortline|2015|39000|Petroleo|Manual|Primer|15.04 kmpl|1598 CC|103.2 bhp|5.0|3990.0
56|Renault KWID RXT|2017|16542|Petroleo|Manual|Primer|25.17 kmpl|799 CC|53.3 bhp|5.0|3300.0
57|Hyundai i10 Asta|2010|32000|Petroleo|Manual|Primer|20.36 kmpl|1197 CC|78.9 bhp|5.0|2070.0
58|Nissan X-Trail SLX AT|2010|121812|Diesel|Automatico|Primer|13.29 kmpl|1995 CC|147.6 bhp|5.0|7750.0
59|Maruti Zen Estilo VXI BSIII|2010|39300|Petroleo|Manual|Primer|18.2 kmpl|998 CC|67.1 bhp|5.0|2250.0
60|Toyota Innova Crysta 2.4 GX MT 8S|2017|22000|Diesel|Manual|Primer|13.68 kmpl|2393 CC|147.8 bhp|8.0|16500.0
61|Ford Figo Diesel Titanium|2010|72000|Diesel|Manual|Primer|20.0 kmpl|1399 CC|68 bhp|5.0|2750.0
62|Mercedes-Benz New C-Class C 200 CGI Avantgarde|2015|58000|Petroleo|Automatico|Primer|11.74 kmpl|1796 CC|186 bhp|5.0|26700.0
63|Mercedes-Benz New C-Class 200 CDI Classic|2011|65000|Diesel|Manual|Segundo|15.8 kmpl|2148 CC|170 bhp|5.0|10000.0
64|Tata Indica V2 eLS|2016|178000|Diesel|Manual|Primer|25.0 kmpl|1396 CC|69 bhp|5.0|2500.0
65|Audi A4 2.0 TDI Multitronic|2012|65664|Diesel|Automatico|Primer|16.55 kmpl|1968 CC|140 bhp|5.0|13500.0
66|Honda City ZX CVT|2007|63000|Petroleo|Automatico|Segundo|16.4 kmpl|1497 CC|78 bhp|5.0|1850.0
67|Mercedes-Benz C-Class Progressive C 220d|2019|15369|Diesel|Automatico|Primer|0.0 kmpl|1950 CC|194 bhp|5.0|35670.0
68|Maruti Ertiga SHVS VDI|2016|63000|Diesel|Manual|Primer|24.52 kmpl|1248 CC|88.5 bhp|7.0|8150.0
69|Hyundai Creta 1.4 E Plus Diesel|2018|13000|Diesel|Manual|Primer|22.1 kmpl|1396 CC|88.7 bhp|5.0|10500.0
70|Porsche Cayenne 2009-2014 Turbo|2008|73000|Petroleo|Automatico|Primer|8.5 kmpl|4806 CC|500 bhp|5.0|14500.0
71|Mahindra XUV500 W8 4WD|2015|55729|Diesel|Manual|Primer|15.1 kmpl|2179 CC|140 bhp|7.0|9650.0
72|Hyundai i10 Sportz 1.2 AT|2012|45178|Petroleo|Automatico|Primer|16.95 kmpl|1197 CC|78.9 bhp|5.0|3480.0
73|Nissan Terrano XV D Pre|2015|56066|Diesel|Manual|Primer|19.64 kmpl|1461 CC|108.5 bhp|5.0|6920.0
74|Honda Brio VX AT|2016|37300|Petroleo|Automatico|Segundo|16.5 kmpl|1198 CC|86.8 bhp|5.0|6460.0
75|Audi A6 2.0 TDI Design Edition|2014|56000|Diesel|Automatico|Segundo|18.53 kmpl|1968 CC|187.74 bhp|5.0|29500.0
76|Ford Fiesta 1.4 SXi TDCi|2008|111111|Diesel|Manual|Primer|17.8 kmpl|1399 CC|null bhp|5.0|2000.0
77|Toyota Innova 2.0 G1|2006|230000|Petroleo|Manual|Tercer|12.4 kmpl|1998 CC|132 bhp|8.0|4500.0
78|Toyota Innova 2.5 VX 7 STR BSIV|2012|104000|Diesel|Manual|Primer|12.8 kmpl|2494 CC|102 bhp|7.0|11750.0
79|Hyundai Santro Xing XL|2005|87591|Petroleo|Manual|Primer|0.0 kmpl|1086 cc|null bhp|5.0|1300.0
80|Maruti Swift VDI|2012|95100|Diesel|Manual|Primer|22.9 kmpl|1248 CC|74 bhp|5.0|3750.0
81|Tata Zest Revotron 1.2T XE|2017|70000|Petroleo|Manual|Primer|17.57 kmpl|1193 CC|88.7 bhp|5.0|4500.0
82|Honda Amaze SX i-VTEC|2016|54944|Petroleo|Manual|Primer|18.0 kmpl|1198 CC|86.7 bhp|5.0|4820.0
83|Ford Figo Diesel ZXI|2012|70337|Diesel|Manual|Primer|20.0 kmpl|1399 CC|68 bhp|5.0|2800.0
84|Maruti Ritz VDi|2013|99638|Diesel|Manual|Primer|23.2 kmpl|1248 CC|73.94 bhp|5.0|3110.0
85|Honda City i VTEC E|2009|52000|Petroleo|Manual|Primer|17.8 kmpl|1497 CC|117.3 bhp|5.0|3250.0
86|BMW 5 Series 2003-2012 525d|2011|75000|Diesel|Automatico|Segundo|16.73 kmpl|1995 CC|218 bhp|5.0|13900.0
87|Hyundai i10 Sportz 1.2|2009|95980|Petroleo|Manual|Primer|20.36 kmpl|1197 CC|78.9 bhp|5.0|2250.0
88|Hyundai Grand i10 Sportz|2016|16000|Petroleo|Manual|Primer|18.9 kmpl|1197 CC|82 bhp|5.0|5750.0
89|Hyundai Santro Xing XO|2007|73745|Petroleo|Manual|Primer|17.0 kmpl|1086 CC|null bhp|5.0|2100.0
90|Honda Amaze SX i-VTEC|2016|18949|Petroleo|Manual|Primer|17.8 kmpl|1198 CC|86.7 bhp|5.0|5000.0
91|Toyota Fortuner 4x2 Manual|2014|107000|Diesel|Manual|Primer|13.0 kmpl|2982 CC|168.5 bhp|7.0|16500.0
92|Audi A6 2011-2015 35 TDI Premium|2018|48367|Diesel|Automatico|Primer|17.68 kmpl|1968 CC|174.33 bhp|5.0|39580.0
93|Ford Ecosport 1.5 DV5 MT Titanium Optional|2013|57000|Diesel|Manual|Primer|22.7 kmpl|1498 CC|89.84 bhp|5.0|5500.0
94|Mahindra XUV500 W8 2WD|2014|58000|Diesel|Manual|Primer|15.1 kmpl|2179 CC|140 bhp|7.0|8100.0
95|Honda Amaze SX i-DTEC|2015|30000|Diesel|Manual|Primer|25.8 kmpl|1498 CC|98.6 bhp|5.0|3500.0
96|Volkswagen Polo Diesel Highline 1.2L|2013|34212|Diesel|Manual|Primer|22.07 kmpl|1199 CC|73.9 bhp|5.0|2790.0
97|Hyundai Verna Transform SX VGT CRDi|2010|70002|Diesel|Manual|Primer|16.2 kmpl|1493 CC|110 bhp|5.0|3450.0
98|Maruti Wagon R VXI BS IV|2016|62000|Petroleo|Manual|Primer|18.9 kmpl|998 CC|67.1 bhp|5.0|4450.0
99|Volkswagen Polo Petrol Highline 1.6L|2010|62001|Petroleo|Manual|Primer|15.26 kmpl|1598 CC|103.5 bhp|5.0|2650.0
100|Hyundai i20 1.4 CRDi Sportz|2011|78958|Diesel|Manual|Segundo|23.0 kmpl|1396 CC|90 bhp|5.0|3800.0
101|Hyundai i20 Asta 1.2|2014|30180|Petroleo|Manual|Primer|18.5 kmpl|1197 CC|82.85 bhp|5.0|4650.0
102|Datsun GO Plus T Petrol|2017|32851|Petroleo|Manual|Primer|19.83 kmpl|1198 CC|67 bhp|7.0|3950.0
103|Audi A4 3.0 TDI Quattro Premium|2010|30000|Diesel|Automatico|Primer|14.94 kmpl|2967 CC|241.4 bhp|5.0|9800.0
104|Hyundai i20 2015-2017 Asta|2009|66000|Petroleo|Manual|Segundo|17.0 kmpl|1197 CC|80 bhp|5.0|2700.0
105|Maruti Omni 5 Str STD|2010|93850|Petroleo|Manual|Primer|14.0 kmpl|796 CC|35 bhp|5.0|2410.0
106|Toyota Etios Liva 1.2 G|2014|53000|Petroleo|Manual|Primer|17.71 kmpl|1197 CC|78.9 bhp|5.0|3900.0
107|Jaguar XF 3.0 Litre S Premium Luxury|2011|78000|Diesel|Automatico|Segundo|14.74 kmpl|2993 CC|270.9 bhp|5.0|24000.0
108|Mahindra XUV500 W8 2WD|2012|65000|Diesel|Manual|Segundo|16.0 kmpl|2179 CC|140 bhp|7.0|5750.0
109|Hyundai Verna 1.6 SX CRDI (O) AT|2014|40000|Diesel|Automatico|Primer|22.32 kmpl|1582 CC|126.32 bhp|5.0|5250.0
110|Toyota Innova Crysta 2.8 ZX AT|2017|30000|Diesel|Automatico|Primer|11.36 kmpl|2755 CC|171.5 bhp|7.0|19250.0
111|Maruti Eeco 5 Seater AC|2017|38053|Petroleo|Manual|Primer|15.1 kmpl|1196 CC|73 bhp|5.0|3910.0
112|Tata Nano Twist XT|2014|25500|Petroleo|Manual|Primer|25.4 kmpl|624 CC|37.5 bhp|4.0|2150.0
113|BMW 3 Series 320d Luxury Line|2015|56087|Diesel|Automatico|Primer|22.69 kmpl|1995 CC|190 bhp|5.0|20750.0
114|Honda Civic 2006-2010 1.8 V MT|2010|71088|Petroleo|Manual|Primer|13.5 kmpl|1799 CC|130 bhp|5.0|3350.0
115|Toyota Innova 2.5 VX (Diesel) 7 Seater|2014|55000|Diesel|Manual|Primer|12.99 kmpl|2494 CC|100.6 bhp|7.0|11110.0
116|Volvo V40 Cross Country D3|2014|32700|Diesel|Automatico|Primer|23.3 kmpl|1984 CC|150 bhp|5.0|20000.0
117|Nissan Micra XV CVT|2016|39882|Petroleo|Automatico|Primer|19.15 kmpl|1198 CC|75.94 bhp|5.0|6550.0
118|BMW 5 Series 2010-2013 525i|2009|128000|Petroleo|Automatico|Primer|10.8 kmpl|2497 CC|215 bhp|5.0|7000.0
119|Maruti Vitara Brezza VDi|2016|55000|Diesel|Manual|Primer|24.3 kmpl|1248 CC|88.5 bhp|5.0|7500.0
120|Hyundai Santro Xing XL eRLX Euro III|2005|102000|Petroleo|Manual|Segundo|17.0 kmpl|1086 CC|null bhp|5.0|850.0
121|Mercedes-Benz B Class B200 CDI|2014|53753|Diesel|Automatico|Segundo|15.0 kmpl|2143 CC|107.3 bhp|5.0|16750.0
122|Hyundai Verna CRDi 1.6 SX Option|2018|10250|Diesel|Manual|Primer|22.0 kmpl|1582 CC|126.2 bhp|5.0|10950.0
123|Maruti Wagon R LXI BS IV|2011|43874|Petroleo|Manual|Primer|18.9 kmpl|998 CC|67.1 bhp|5.0|2450.0
124|Tata Nano XTA|2017|32684|Petroleo|Automatico|Primer|21.9 kmpl|624 CC|37.48 bhp|4.0|3230.0
125|Mahindra Scorpio VLX|2014|42000|Diesel|Manual|Primer|12.05 kmpl|2179 CC|120 bhp|8.0|7750.0
126|Mercedes-Benz New C-Class 200 K AT|2009|28352|Petroleo|Automatico|Primer|11.7 kmpl|1796 CC|178 bhp|5.0|9350.0
127|Maruti Wagon R LXI GNC|2013|89900|GNC|Manual|Primer|26.6 kmpl|998 CC|58.16 bhp|5.0|3250.0
128|Honda CR-V 2.4 MT|2007|47700|Petroleo|Manual|Segundo|10.8 kmpl|2354 CC|152 bhp|5.0|5250.0
129|Volkswagen Vento 1.5 TDI Comfortline AT|2015|55000|Diesel|Automatico|Primer|21.21 kmpl|1498 CC|103.2 bhp|5.0|7250.0
130|Maruti Ciaz VXi Plus|2017|44285|Petroleo|Manual|Primer|20.73 kmpl|1373 CC|91.1 bhp|5.0|7470.0
131|Mahindra XUV500 AT W10 FWD|2016|54000|Diesel|Automatico|Primer|16.0 kmpl|2179 CC|140 bhp|7.0|13250.0
132|Maruti Ritz VXI ABS|2016|30232|Petroleo|Manual|Primer|21.1 kmpl|1197 CC|85.80 bhp|5.0|5810.0
133|Maruti Alto K10 VXI|2014|88500|Petroleo|Manual|Primer|24.07 kmpl|998 CC|67.1 bhp|5.0|2600.0
134|Mercedes-Benz SLC 43 AMG|2017|13372|Petroleo|Automatico|Primer|19.0 kmpl|2996 CC|362.07 bhp|2.0|54000.0
135|Hyundai Verna VTVT 1.6 AT SX Plus|2019|12645|Petroleo|Automatico|Primer|17.0 kmpl|1591 CC|121.3 bhp|5.0|11500.0
136|Maruti Alto LXi BSIII|2010|94385|Petroleo|Manual|Segundo|19.7 kmpl|796 CC|46.3 bhp|5.0|1600.0
137|BMW 1 Series 118d Base|2015|31821|Diesel|Automatico|Primer|20.58 kmpl|1995 CC|143 bhp|5.0|17220.0
138|Honda Jazz 1.2 V CVT i VTEC|2015|12000|Petroleo|Automatico|Primer|19.0 kmpl|1199 CC|88.7 bhp|5.0|6000.0
139|Honda Civic 2006-2010 1.8 V MT|2012|88578|Petroleo|Manual|Primer|13.5 kmpl|1799 CC|130 bhp|5.0|3950.0
140|Mercedes-Benz New C-Class C 220 CDI Avantgarde|2014|44965|Diesel|Automatico|Primer|19.27 kmpl|2143 CC|170 bhp|5.0|17950.0
141|Honda Amaze SX i-DTEC|2014|45044|Diesel|Manual|Primer|25.8 kmpl|1498 CC|98.6 bhp|5.0|3700.0
142|Maruti Swift VVT VXI|2016|34204|Petroleo|Manual|Primer|22.0 kmpl|1197 CC|81.80 bhp|5.0|5430.0
143|Hyundai Santro Xing XO eRLX Euro II|2008|80759|Petroleo|Manual|Tercer|17.0 kmpl|1086 CC|null bhp|5.0|1670.0
144|Toyota Fortuner 3.0 Diesel|2012|91235|Diesel|Manual|Primer|11.5 kmpl|2982 CC|171 bhp|7.0|13490.0
145|Chevrolet Beat LT Option|2014|38800|Petroleo|Manual|Primer|18.6 kmpl|1199 CC|76.8 bhp|5.0|2850.0
146|Skoda Rapid 1.5 TDI Elegance|2013|83000|Diesel|Manual|Primer|21.14 kmpl|1498 CC|103.52 bhp|5.0|4750.0
147|Maruti Ciaz 1.4 Alpha|2018|41283|Petroleo|Manual|Primer|20.73 kmpl|1373 CC|91.1 bhp|5.0|9900.0
148|Audi RS5 Coupe|2013|23000|Petroleo|Automatico|Primer|11.05 kmpl|2894 CC|444 bhp|4.0|37000.0
149|BMW 3 Series Luxury Line|2014|48000|Diesel|Automatico|Primer|21.76 kmpl|1995 CC|190 bhp|5.0|26500.0
150|Audi A4 2.0 TDI 177 Bhp Premium Plus|2015|48214|Diesel|Automatico|Primer|17.11 kmpl|1968 CC|174.33 bhp|5.0|23320.0
151|Maruti Swift VDI|2016|35000|Diesel|Manual|Primer|22.9 kmpl|1248 CC|74 bhp|5.0|6250.0
152|Mercedes-Benz S Class 2005 2013 S 500|2010|35277|Petroleo|Automatico|Primer|7.81 kmpl|5461 CC|362.9 bhp|5.0|30000.0
153|Skoda Rapid 1.5 TDI AT Elegance Plus Black Package|2016|54620|Diesel|Automatico|Primer|21.66 kmpl|1498 CC|103.52 bhp|5.0|9860.0
154|Skoda Superb Elegance 2.0 TDI CR AT|2012|136997|Diesel|Automatico|Primer|17.2 kmpl|1968 CC|138.1 bhp|5.0|8500.0
155|Hyundai EON Magna Plus|2019|14322|Petroleo|Manual|Primer|21.1 kmpl|814 CC|55.2 bhp|5.0|4230.0
156|Volkswagen Polo Diesel Trendline 1.2L|2012|65634|Diesel|Manual|Primer|22.07 kmpl|1199 CC|73.9 bhp|5.0|3500.0
157|Datsun GO NXT|2016|6000|Petroleo|Manual|Primer|20.63 kmpl|1198 CC|67.06 bhp|5.0|2500.0
158|Honda Brio S MT|2013|33280|Petroleo|Manual|Primer|19.4 kmpl|1198 CC|86.8 bhp|5.0|2390.0
159|Mercedes-Benz B Class B180|2013|29000|Petroleo|Automatico|Primer|14.8 kmpl|1595 CC|120.7 bhp|5.0|11250.0
160|Honda City i DTEC V|2015|42831|Diesel|Manual|Primer|26.0 kmpl|1498 CC|98.6 bhp|5.0|7110.0
161|Toyota Innova 2.5 G (Diesel) 7 Seater|2016|90000|Diesel|Manual|Primer|12.99 kmpl|2494 CC|100.6 bhp|7.0|10900.0
162|Maruti Swift VXI Optional|2017|24005|Petroleo|Manual|Primer|20.4 kmpl|1197 CC|81.80 bhp|5.0|6200.0
163|Mahindra XUV500 W8 2WD|2012|32792|Diesel|Manual|Primer|15.1 kmpl|2179 CC|140 bhp|7.0|7900.0
164|Ford Ecosport 1.5 DV5 MT Ambiente|2014|147898|Diesel|Manual|Primer|22.7 kmpl|1498 CC|89.84 bhp|5.0|4420.0
165|Toyota Fortuner 4x2 Manual|2012|131765|Diesel|Manual|Primer|13.0 kmpl|2982 CC|168.5 bhp|7.0|13500.0
166|Volkswagen Vento 1.5 Highline Plus AT 16 Alloy|2013|65000|Diesel|Automatico|Primer|21.5 kmpl|1498 CC|108.5 bhp|5.0|6250.0
167|Ford Figo Diesel Titanium|2010|66123|Diesel|Manual|Segundo|20.0 kmpl|1399 CC|68 bhp|5.0|2100.0
168|BMW X5 xDrive 30d|2015|41000|Diesel|Automatico|Primer|15.3 kmpl|2993 CC|258 bhp|5.0|45000.0
169|Mercedes-Benz New C-Class C 220 CDI Style|2017|23550|Diesel|Automatico|Primer|19.27 kmpl|2143 CC|167.62 bhp|5.0|33660.0
170|Honda Brio V MT|2012|45000|Petroleo|Manual|Segundo|19.4 kmpl|1198 CC|86.8 bhp|5.0|3650.0
171|Hyundai i10 Magna 1.2|2013|60000|Petroleo|Manual|Primer|20.36 kmpl|1197 CC|78.9 bhp|5.0|2750.0
172|Mercedes-Benz GLC 220|2016|44414|Diesel|Automatico|Primer|17.9 kmpl|2143 CC|170 bhp|5.0|42500.0
173|Hyundai Grand i10 1.2 Kappa Asta|2019|1000|Petroleo|Manual|Primer|18.9 kmpl|1197 CC|81.86 bhp|5.0|6500.0
174|Audi A6 2011-2015 2.0 TDI Premium Plus|2012|62500|Diesel|Automatico|Segundo|17.68 kmpl|1968 CC|174.33 bhp|5.0|19000.0
175|Volkswagen Vento Petrol Highline AT|2013|21000|Petroleo|Automatico|Segundo|14.4 kmpl|1598 CC|103.6 bhp|5.0|4450.0
176|Mini Countryman Cooper D|2017|8525|Diesel|Automatico|Segundo|16.6 kmpl|1998 CC|112 bhp|5.0|23000.0
177|Hyundai i20 Asta 1.4 CRDi|2014|29000|Diesel|Manual|Primer|22.54 kmpl|1396 CC|88.73 bhp|5.0|8350.0
178|Audi A6 2011-2015 2.0 TDI Premium Plus|2014|40000|Diesel|Automatico|Primer|17.68 kmpl|1968 CC|174.33 bhp|5.0|22950.0
179|Chevrolet Beat Diesel LT|2012|88000|Diesel|Manual|Primer|25.44 kmpl|936 CC|57.6 bhp|5.0|1500.0
180|Skoda Superb Elegance 1.8 TSI AT|2012|53537|Petroleo|Automatico|Primer|13.7 kmpl|1798 CC|157.75 bhp|5.0|6890.0
181|Ford Fiesta 1.4 TDCi EXI Limited Edition|2006|216000|Diesel|Manual|Segundo|17.8 kmpl|1399 CC|68 bhp|5.0|1450.0
182|BMW 5 Series 520d Luxury Line|2014|51000|Diesel|Automatico|Primer|22.48 kmpl|1995 CC|190 bhp|5.0|33500.0
183|Chevrolet Optra Magnum 1.6 LS BS3|2007|118500|Petroleo|Manual|Primer|12.9 kmpl|1598 CC|102.5 bhp|5.0|1250.0
184|Volkswagen Polo Diesel Highline 1.2L|2012|63000|Diesel|Manual|Primer|22.07 kmpl|1199 CC|73.9 bhp|5.0|4200.0
185|Renault Lodgy 110PS RxZ 8 Seater|2015|25000|Diesel|Manual|Primer|19.98 kmpl|1461 CC|108.5 bhp|8.0|6750.0
186|Mercedes-Benz E-Class E250 CDI Avantgrade|2014|37382|Diesel|Automatico|Primer|13.0 kmpl|2143 CC|201.1 bhp|5.0|32000.0
187|Maruti Baleno Alpha|2017|24773|Petroleo|Manual|Primer|21.4 kmpl|1197 CC|83.1 bhp|5.0|7500.0
188|Hyundai Verna 1.6 SX|2012|62000|Diesel|Manual|Primer|22.32 kmpl|1582 CC|126.32 bhp|5.0|4600.0
189|Hyundai i10 Magna 1.1|2017|52340|Petroleo|Manual|Primer|19.81 kmpl|1086 CC|68.05 bhp|5.0|4040.0
190|Mahindra Scorpio 1.99 S10 4WD|2016|56739|Diesel|Manual|Primer|15.4 kmpl|1997 CC|120 bhp|7.0|10310.0
191|Land Rover Range Rover 2.2L Dynamic|2018|36091|Diesel|Automatico|Primer|12.7 kmpl|2179 CC|187.7 bhp|5.0|55760.0
192|Ford Figo Diesel ZXI|2010|120000|Diesel|Manual|Primer|20.0 kmpl|1399 CC|68 bhp|5.0|2600.0
193|Maruti Ertiga ZDI|2016|33000|Diesel|Manual|Primer|25.47 kmpl|1248 CC|88.50 bhp|7.0|8500.0
